country,horizon,mse,rmse,MAE,mape,mdape,smape,coverage
Morocco,1077 days 01:33:54.782608688,22.94104868568708,4.692083173630024,3.5073152623722224,1.4053228528073363,0.601228104221577,0.7924823946890229,0.7763975155279503
Mozambique,1077 days 01:33:54.782608688,211.20032654763696,13.064959595281255,8.615689427647498,2.4583027652663803,0.9464075105287033,0.8249753258888752,0.6853002070393375
Myanmar,1077 days 01:33:54.782608688,42.00921806153945,6.061625625080057,4.9823947211788875,0.7176717950396542,0.5100701799537317,0.6843561097948958,0.4824016563146998
Namibia,1077 days 01:33:54.782608688,20.00437835628468,4.183673530066568,3.172339105114896,,0.5656812540669699,0.9316976099797406,0.7184265010351967
Nauru,1077 days 01:33:54.782608688,128.3627814106116,9.201513929550662,5.985562502507663,1.7633007577358915,1.0816959029620004,1.1291461936139002,0.6128364389233955
Nepal,1077 days 01:33:54.782608688,22.74629770183398,4.295701463888208,3.0099233569831876,2.660267169680486,0.43784508470388617,0.5813330695577787,0.7391304347826086
Netherlands,1077 days 01:33:54.782608688,7.444475665711181,2.6456386298039862,2.0970294577170576,2.4901499721489935,0.7021908927654175,0.7685977329447624,0.5797101449275363
New Zealand,1077 days 01:33:54.782608688,7.54541731716498,2.6304684347144787,2.10331742433142,,0.6538874570786721,0.8502535169253492,0.670807453416149
Nicaragua,1077 days 01:33:54.782608688,41.265525651817676,6.273695867012654,4.746272767264201,6.6864398311381406,1.0155263006965396,1.0943445110517136,0.5507246376811594
Niger,1077 days 01:33:54.782608688,39.84114733447317,6.0361493122820935,4.1265886878257225,5.5791646437053135,0.9494633770226854,0.921629020380722,0.7681159420289855
Nigeria,1077 days 01:33:54.782608688,34.432116347582706,5.627965557161585,4.474942439125826,1.8985760406205616,0.8174365237470929,0.9766054757680059,0.5734989648033126
North Africa,1077 days 01:33:54.782608688,17.672303361471126,3.9917012819589943,2.8924706449038715,,0.5088714095579098,0.7080797260848477,0.6749482401656315
North America,1077 days 01:33:54.782608688,6.479830627813539,2.4826214568326117,1.8159059282937333,1.3525185211224915,0.36340054452534826,0.5580485106891817,0.7018633540372671
North Macedonia,1077 days 01:33:54.782608688,19.452623178839808,4.12484925988574,3.241867567224986,1.9441513599316647,0.8896066353514956,1.142426667231563,0.6252587991718426
Norway,1077 days 01:33:54.782608688,7.052018352738944,2.5354406081791563,1.9380206643442837,1.6415436894686342,0.7113709187918282,0.7466480384664255,0.6459627329192547
Oman,1077 days 01:33:54.782608688,55.54295604946457,7.0458728994678905,5.350344641303887,1.552629548575389,1.02059375717093,1.37782219379453,0.6853002070393375
Other advanced economies,1077 days 01:33:54.782608688,4.260260798655631,1.9970539031650187,1.584323629671726,0.6730591420982692,0.32787758300024117,0.43979306782663546,0.5362318840579711
Pacific Islands ,1077 days 01:33:54.782608688,21.198462419702082,4.363005054540205,3.3956480874952946,2.649300131917623,0.6984320660801423,0.840186152217064,0.5652173913043478
Pakistan,1077 days 01:33:54.782608688,5.630771805634913,2.2872454783591705,1.7836837466074562,0.7511004815240518,0.3128169393364242,0.4415138169998232,0.5590062111801242
Palau,1077 days 01:33:54.782608688,21.256720921814356,4.433490572956621,3.7280330452964763,,1.083585806675716,1.3787309323901051,0.4886128364389234
Panama,1077 days 01:33:54.782608688,70.96242033073185,8.052524578434022,6.0255593656405715,1.4992502172671185,0.7511145704072903,0.9400913958575768,0.6542443064182194
Papua New Guinea,1077 days 01:33:54.782608688,42.06703309986416,6.305283095640062,5.132807699145649,4.699537384733688,1.1682465252047038,1.0527253494489512,0.5610766045548654
Paraguay,1077 days 01:33:54.782608688,70.19084686028157,7.615242518016064,5.216796221381701,,1.2819984696857654,1.3447617950503643,0.6521739130434783
Peru,1077 days 01:33:54.782608688,115.51963812500905,10.147875489283214,6.870574723925674,1.8497436436686299,1.0290474145549338,1.0398611196376741,0.7474120082815735
Philippines,1077 days 01:33:54.782608688,43.84317862504693,5.890347196978501,3.509072513400678,1.1690824023611726,0.34225876759728036,0.7247089516409311,0.8240165631469979
Poland,1077 days 01:33:54.782608688,56.54726605793002,7.092042323801469,5.076264589861601,2.20268964230782,1.0199336021606065,0.7825615424474743,0.650103519668737
Portugal,1077 days 01:33:54.782608688,24.502686493435778,4.725918754168331,3.644238648899128,1.617219795476369,1.2185985890864954,1.266019072164309,0.5445134575569358
Puerto Rico,1077 days 01:33:54.782608688,20.14925326549757,4.35719335319203,3.762768597448554,,1.3994661989769586,1.2954889358523816,0.45341614906832295
Qatar,1077 days 01:33:54.782608688,134.7511332793907,11.394310634928791,9.317499027696645,3.051240705562654,1.3882734306704316,1.1038632611679566,0.5859213250517599
Republic of Congo,1077 days 01:33:54.782608688,86.08911349344187,8.900822699666527,7.458538154321388,2.69231048971459,1.461773770354109,1.52735905964597,0.6211180124223602
Republic of Korea,1077 days 01:33:54.782608688,43.0232027555744,6.116459276154106,4.265441529612781,0.8774160238415544,0.5275477940910692,0.5238832867050566,0.7267080745341615
Republic of South Sudan,1077 days 01:33:54.782608688,554.7585974351005,23.03201492153655,17.110982749405487,2.8562218802107124,1.3183755313075511,1.5407687642293053,0.6542443064182194
Republic of Turkiye,1077 days 01:33:54.782608688,25.611414141380795,4.627244518749482,3.9003491732807416,2.0225420553093914,0.6600951934230169,0.7352947168225795,0.6583850931677019
Romania,1077 days 01:33:54.782608688,54.61777004479502,7.296283534735439,6.292685712363612,3.365631092390526,1.4540857875980961,1.3814290402765497,0.42028985507246375
Russian Federation,1077 days 01:33:54.782608688,60.83928204593195,7.602136066527512,5.732424402493657,2.3233096897689918,1.0018604834165772,1.0068372190065715,0.4782608695652174
Rwanda,1077 days 01:33:54.782608688,149.19058132637656,11.754067004467606,8.419610082782254,4.746092999441735,0.8576661437697892,1.0161698284165364,0.6521739130434783
Saint Kitts and Nevis,1077 days 01:33:54.782608688,40.64734913564711,6.075476001707781,4.916959234279044,,1.151983635589876,1.0018377777174552,0.515527950310559
Saint Lucia,1077 days 01:33:54.782608688,65.89078491478986,7.667959934256988,5.812388862616889,,1.403903108643707,1.3722795840769721,0.5817805383022774
Saint Vincent and the Grenadines,1077 days 01:33:54.782608688,12.867265623012914,3.4049221972180015,2.7760377194967503,1.5098509837976424,0.6801589053381751,0.8615862511981778,0.6211180124223602
